Hourly,Environment:Site Diffuse Solar Radiation Rate per Area[W/m2],Environment:Site Direct Solar Radiation Rate per Area[W/m2],ESTE:Zone Air Relative Humidity[%],OESTE:Zone Air Relative Humidity[%],ESTE:Zone Air Temperature[C],OESTE:Zone Air Temperature[C]
2006-Jan-01 21:00:00,0.0,0.0,24.746220257038104,24.691756738888714,28.183149322967225,28.22114634265724
2006-Jan-01 22:00:00,0.0,0.0,25.49978236714988,25.45318137022112,27.669328190629873,27.700543449133395
2006-Jan-01 23:00:00,0.0,0.0,26.609776497705898,26.560437921048706,26.94265946065204,26.974324359404577
2006-Jan-02 00:00:00,0.0,0.0,27.958898485683488,27.89403302164038,26.103537148012396,26.142557748166638
2006-Jan-02 01:00:00,0.0,0.0,29.287006540867903,29.171549784781146,25.320464085004673,25.386884229608984
2006-Jan-02 02:00:00,0.0,0.0,30.58663000665283,30.47452551582066,24.592257528194818,24.65372638912699
2006-Jan-02 03:00:00,0.0,0.0,31.894499362553486,31.816446055609465,23.89387131663086,23.93471781968094
2006-Jan-02 04:00:00,0.0,0.0,33.244465893096454,33.19549847559864,23.20612413474393,23.230565466389702
2006-Jan-02 05:00:00,0.0,0.0,34.593543104968354,34.56670616177342,22.524777486459868,22.537588003088715
2006-Jan-02 06:00:00,0.0,0.0,36.000175678100796,35.98808262027468,21.84796461334089,21.853489017734645
2006-Jan-02 07:00:00,0.0,0.0,37.45763746166644,37.45616176130272,21.191096775126148,21.191751802849183
2006-Jan-02 08:00:00,37.416666666666664,442.0833333333333,38.97845706802952,38.979927418074915,20.56040962814592,20.559781814264877
2006-Jan-02 09:00:00,74.5,695.5833333333334,40.22121038027859,40.04608390883737,20.05836122908263,20.12862463293645
2006-Jan-02 10:00:00,89.25,832.5,40.65120289367926,39.87526411977398,19.916769235239702,20.22839802520074
2006-Jan-02 11:00:00,93.41666666666667,914.4166666666666,39.95826214996071,38.15134530721105,20.229867568851372,20.982871791663822
2006-Jan-02 12:00:00,96.5,943.8333333333334,38.30075033749009,35.029198999243185,20.904817804992575,22.370592871662225
2006-Jan-02 13:00:00,96.25,946.75,35.89311942574896,31.90937637218956,21.987129925755635,23.93051285085484
2006-Jan-02 14:00:00,98.58333333333333,905.5,32.9211933648621,29.32549746266294,23.441292503939522,25.371914155386623
2006-Jan-02 15:00:00,105.16666666666667,783.25,30.134898576776497,27.120816278061607,24.918587083346967,26.695334792115144
2006-Jan-02 16:00:00,94.83333333333333,629.5833333333334,27.67652172874297,25.386486181148115,26.347627631452415,27.816973758080593
2006-Jan-02 17:00:00,57.166666666666664,453.25,25.706710792018313,24.150789519408416,27.589836138918642,28.660289915768885
2006-Jan-02 18:00:00,18.583333333333332,189.25,24.45408147012823,23.47438910068223,28.42364786153166,29.128535693501608
2006-Jan-02 19:00:00,0.0,0.0,23.787539224646366,23.31186456366841,28.869286320427587,29.21845287896109
2006-Jan-02 20:00:00,0.0,0.0,23.74029186442293,23.60680964350512,28.8895045498069,28.987184728618473
2006-Jan-02 21:00:00,0.0,0.0,24.18197863378421,24.193312242268515,28.57179906187352,28.56386595009414
2006-Jan-02 22:00:00,0.0,0.0,24.873005376996264,24.927536217656357,28.087527590038615,28.0498497685314
2006-Jan-02 23:00:00,0.0,0.0,25.888002343848044,25.919868058758777,27.403210119873126,27.382225478092323
2006-Jan-03 00:00:00,0.0,0.0,27.163518715507944,27.20069685774079,26.58442532939807,26.561044677040552
2006-Jan-03 01:00:00,0.0,0.0,28.444441912902416,28.413652292752477,25.80401512699255,25.82224710213266
2006-Jan-03 02:00:00,0.0,0.0,29.654485636901015,29.6171073459977,25.10262821876037,25.123823676081944
2006-Jan-03 03:00:00,0.0,0.0,30.854757207893766,30.840000692370676,24.438106188345994,24.446171893901504
2006-Jan-03 04:00:00,0.0,0.0,32.070177227886525,32.086671704425264,23.79435946658934,23.78585540727123
2006-Jan-03 05:00:00,0.0,0.0,33.35080297743935,33.388025638626964,23.15362327802806,23.135205899077604
2006-Jan-03 06:00:00,0.0,0.0,34.630413214736805,34.68374413941441,22.518916927641573,22.493603233274886
2006-Jan-03 07:00:00,0.0,0.0,35.89524651005507,35.956692562574,21.896954073594625,21.86894670336689
2006-Jan-03 08:00:00,36.583333333333336,459.4166666666667,37.209289860988314,37.27356585995158,21.295749500470546,21.267592920658306
2006-Jan-03 09:00:00,70.08333333333333,726.0,38.359875218714954,38.25383636328401,20.812613544385943,20.857341721131466
2006-Jan-03 10:00:00,86.16666666666667,845.25,38.71625830883692,38.02087852860062,20.687642076020655,20.98261324525937
2006-Jan-03 11:00:00,95.08333333333333,903.5,37.994010395205656,36.24502930703933,21.020191996208677,21.791912969475998
2006-Jan-03 12:00:00,100.25,926.6666666666666,36.501748866511285,33.30337717733672,21.673904295068002,23.18806801318998
2006-Jan-03 13:00:00,104.16666666666667,911.75,34.330082276190566,30.490972611136424,22.701041903984976,24.670869520256247
2006-Jan-03 14:00:00,108.91666666666667,822.4166666666666,31.66009473698357,28.162932616504705,24.070307106207007,26.033914573505502
2006-Jan-03 15:00:00,117.58333333333333,638.9166666666666,29.184891982708777,26.213672594075103,25.444541059218114,27.262587616818564
2006-Jan-03 16:00:00,104.66666666666667,540.0833333333334,27.025930393607755,24.71310127381209,26.74694609668334,28.274436505278242
2006-Jan-03 17:00:00,60.5,478.5833333333333,25.279644553317862,23.643504486233084,27.881233235554458,29.031591299409055
2006-Jan-03 18:00:00,19.583333333333332,219.41666666666666,24.038753828613327,22.97898637835064,28.732186751131422,29.511549002693396
